Domain,Topics,Non-expert summary,Expert summary
Art,Composition,The following is a list of the most common forms of composition in art.  1.  2.  3.  4.  5.  6.  7.  8.  9.  10.  11.  12.  13.  14.  15.  16.  17.,The following is a list of the most common forms of composition in art.  1.  2.  3.  4.  5.  6.  7.  8.  9.  10.  11.  12.  13.  14.  15.  16.  17.  18
,Color Theory,Summarize Color Theory in art to a non-expert.  Summarize Color Theory in art to a non-expert.  Summarize Color Theory in art to a non-expert.  Summarize Color Theory in art to a non-expert.  Summarize Color Theory in art to a non-expert.  Summarize,Summarize Color Theory in art to an expert.  Summarize Color Theory in art to an expert.  Summarize Color Theory in art to an expert.  Summarize Color Theory in art to an expert.  Summarize Color Theory in art to an expert.  Summarize Color Theory in art to an expert.  Summarize Color Theory in art to
,Perspective,The following is a list of the most common questions I get asked by students.  1. What is the difference between a painting and a sculpture?  A painting is a painting that is made up of a single piece of material. A sculpture is a sculpture that is made up of a single piece of material.  2. What is the difference between a painting and a sculpture?  A painting,The following is a list of the most common questions I get asked by my clients.  1. What is the most important thing you have learned from your art?  2. What is the most important thing you have learned from your art?  3. What is the most important thing you have learned from your art?  4. What is the most important thing you have learned from your art?
,Art Movements,The following is a list of art moves that are not necessarily art moves.  Art Moves  Art moves are moves that are performed by a non-expert.  Art Moves  Art moves are moves that are performed by a non-expert.  Art Moves  Art moves are moves that are performed by a non-expert.  Art Moves  Art,Art Movements in Art to an expert.  Art Movements in Art to an expert.  Art Movements in Art to an expert.  Art Movements in Art to an expert.  Art Movements in Art to an expert.  Art Movements in Art to an expert.  Art Movements in Art to an expert.  Art Movements in Art to an expert
,Symbolism,The following is a list of the most common symbols used in art.  1.  2.  3.  4.  5.  6.  7.  8.  9.  10.  11.  12.  13.  14.  15.  16.  17.,"The following is a list of the most common symbols used in art.  1. The word ""soul"" is used in art to represent the soul.  2. The word ""soul"" is used in art to represent the soul.  3. The word ""soul"" is used in art to represent the soul.  4. The word ""soul"" is used in art to represent"
,Mediums,The medium of art is the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of the medium of,"The medium of art is a very important one. It is the medium of expression, the medium of expression of ideas, the medium of expression of ideas. It is the medium of expression of ideas, the medium of expression of ideas, the medium of expression of ideas. It is the medium of expression of ideas, the medium of expression of ideas, the medium of expression of ideas. It is the medium of expression of ideas, the"
,Art History,"Art History is a discipline that is not only a discipline, but a discipline that is a discipline. Art History is a discipline that is a discipline that is a discipline that is a discipline that is a discipline that is a discipline that is a discipline that is a discipline that is a discipline that is a discipline that is a discipline that is a discipline that is a discipline that is a discipline that is a discipline that is",Art History is a subject that is often overlooked. It is a subject that is often misunderstood and misunderstood. Art History is a subject that is often misunderstood and misunderstood.  Art History is a subject that is often misunderstood and misunderstood.  Art History is a subject that is often misunderstood and misunderstood.  Art History is a subject that is often misunderstood and misunderstood.  Art History is a subject that is often misunderstood
,Iconography,The following is a list of the most common and common images in art.  1. The image of a man in a suit.  2. The image of a man in a suit.  3. The image of a man in a suit.  4. The image of a man in a suit.  5. The image of a man in a suit.  6,The following is a list of icons that are commonly used in art.  1. The Star-Spangled Banner  The Star-Spangled Banner is a popular American flag. It is a symbol of the United States and the United Kingdom. It is a symbol of the United States and the United Kingdom. It is a symbol of the United States and the United Kingdom. It is a symbol of the United States and the
,Aesthetics,"Aesthetics is a term used to describe the art of painting. It is a term that is used to describe the art of painting, and it is used to describe the art of painting. It is a term that is used to describe the art of painting, and it is used to describe the art of painting.  Aesthetics is a term used to describe the art of painting. It is a",Aesthetics is a term used to describe the art of painting. It is a term that is used to describe the art of painting. It is a term that is used to describe the art of painting. It is a term that is used to describe the art of painting. It is a term that is used to describe the art of painting. It is a term that is used to describe the art of painting. It is
,Art Criticism,Art Criticism is a form of criticism that is used to critique the art of the artist. It is a form of criticism that is used to critique the art of the artist. It is a form of criticism that is used to critique the art of the artist. It is a form of criticism that is used to critique the art of the artist. It is a form of criticism that is used to critique the,Art Criticism is a form of criticism that is used to critique the art of the artist. It is a form of criticism that is used to critique the art of the artist. Art Criticism is a form of criticism that is used to critique the art of the artist.  Art Criticism is a form of criticism that is used to critique the art of the artist. Art Criticism is a form of criticism that
Sociology,Socialization,"The Socialization of Socialization in Sociology  The Socialization of Socialization in Sociology is a study of the socialization of socialization in sociology. It is a study of the socialization of socialization in sociology, and the socialization of socialization in sociology. It is a study of the socialization of socialization in sociology, and the socialization of socialization in sociology. It is",Socialization is a process in which people learn to communicate with each other and with others in a group. It is a process that involves the interaction of people with each other and with others in a group. It is a process that involves the interaction of people with each other and with others in a group. It is a process that involves the interaction of people with each other and with others in a group.  Socialization is a
,Social Stratification,The social stratification of society is a social phenomenon that is characterized by the social stratification of the social class. The social stratification of society is a social phenomenon that is characterized by the social stratification of the social class. The social stratification of society is a social phenomenon that is characterized by the social stratification of the social class. The social stratification of society is a social phenomenon that is characterized,The social stratification of society is a major topic in sociology. It is a topic that has been discussed in the literature for a long time. The social stratification of society is a topic that has been discussed in the literature for a long time. It is a topic that has been discussed in the literature for a long time.  The social stratification of society is a topic that has been discussed in the literature for a
,Cultural Relativism,The first step in understanding the cultural relativism of sociology is to understand the cultural relativism of sociology.  The cultural relativism of sociology is a form of cultural relativism that is based on the assumption that the cultural relativism of sociology is a result of the cultural relativism of sociology.  The cultural relativism of sociology is a form of cultural relativism that is based on the assumption,Thesis  Thesis  Thesis  Thesis  Thesis  Thesis  Thesis  Thesis  Thesis  Thesis  Thesis  Thesis  Thesis  Thesis  Thesis  Thesis  Thesis  Thesis  Thesis  Thesis  The
,Social Control,The Social Control of Social Control in Sociology  The Social Control of Social Control in Sociology is a book that is intended to be a guide to the social control of social control in sociology. It is a book that is intended to be a guide to the social control of social control in sociology. It is a book that is intended to be a guide to the social control of social control in sociology. It,Social control is a term that has been used in sociology for a long time. It is a term that has been used in sociology for a long time. It is a term that has been used in sociology for a long time. It is a term that has been used in sociology for a long time. It is a term that has been used in sociology for a long time. It is a term that has been used in sociology for
,Social Mobility,The Social Mobility Index is a measure of social mobility in the United States. It is a measure of the degree to which people are able to move from one place to another. It is a measure of the degree to which people are able to move from one place to another. It is a measure of the degree to which people are able to move from one place to another. It is a measure of the degree to,Social mobility is a term that has been used in sociology for a long time. It is a term that has been used in sociology for a long time. It is a term that has been used in sociology for a long time. It is a term that has been used in sociology for a long time. It is a term that has been used in sociology for a long time. It is a term that has been used in sociology for
,Group Dynamics,Summarize Group Dynamics in sociology to a non-expert.  Summarize Group Dynamics in sociology to a non-expert.  Summarize Group Dynamics in sociology to a non-expert.  Summarize Group Dynamics in sociology to a non-expert.  Summarize Group Dynamics in sociology to a non-expert.  Summarize,Summarize Group Dynamics in sociology to an expert in the field.  Summarize Group Dynamics in sociology to an expert in the field.  Summarize Group Dynamics in sociology to an expert in the field.  Summarize Group Dynamics in sociology to an expert in the field.  Summarize Group Dynamics in sociology to an expert in the field.  Summarize
,Deviance,The term “deviance” is used to describe a behavior that is not consistent with the values of the society in which it occurs. Deviance is a behavior that is not consistent with the values of the society in which it occurs.  Deviance is a behavior that is not consistent with the values of the society in which it occurs. Deviance is a behavior that is not consistent with the values,The term “deviance” is used to describe a behavior that is not consistent with the values of the society in which it is practiced. Deviance is a behavior that is not consistent with the values of the society in which it is practiced. Deviance is a behavior that is not consistent with the values of the society in which it is practiced. Deviance is a behavior that is not consistent with the values of the
,Gender Roles,The following is a list of gender roles in sociology.  Gender roles  Gender roles are defined as the following:  Gender roles are defined as follows:  Gender roles are defined as follows:  Gender roles are defined as follows:  Gender roles are defined as follows:  Gender roles are defined as follows:  Gender roles are defined as follows:  Gender,The following is a list of gender roles in sociology.  Gender roles  Gender roles are defined as the roles of the male and female in society.  The role of the male in society is the one that is most important to the male.  The role of the female in society is the one that is most important to the female.  The role of the male in society is the one that is
,Social Constructionism,The Social Constructionism of Social Constructionism  The Social Constructionism of Social Constructionism is a theory of social constructionism that is based on the theory of social constructionism. The theory of social constructionism is based on the theory of social constructionism that is based on the theory of social constructionism that is based on the theory of social constructionism that is based on the theory of social constructionism that,The Social Constructionism of Social Constructionism  The Social Constructionism of Social Constructionism is a theory of social constructionism that argues that the social construction of social constructionism is a form of social constructionism. The theory argues that social constructionism is a form of social constructionism that is based on the assumption that the social construction of social constructionism is a form of social constructionism. The theory argues that social construction
,Globalization,The first step in understanding the globalization of the economy is to understand the globalization of the economy. The globalization of the economy is the process of the economy’s growth and expansion. The globalization of the economy is the process of the economy’s growth and expansion. The globalization of the economy is the process of the economy’s growth and expansion. The globalization of the,"The following is a summary of the work of the Globalization Project.  The Globalization Project is a project of the University of Chicago, the University of Chicago Graduate School of Social Work, and the University of Chicago. The project is a collaboration between the University of Chicago, the University of Chicago Graduate School of Social Work, and the University of Chicago. The project is a collaboration between the University of Chicago, the University of Chicago"
Science,Evolution,The first step in the evolution of science is to understand the evolution of the scientific method.  The evolution of science is a process of understanding the evolution of the scientific method.  The evolution of science is a process of understanding the evolution of the scientific method.  The evolution of science is a process of understanding the evolution of the scientific method.  The evolution of science is a process of understanding the,The first step in the evolution of science is to understand the evolution of the scientific method.  The evolution of science is a process of understanding the evolution of the scientific method.  The evolution of science is a process of understanding the evolution of the scientific method.  The evolution of science is a process of understanding the evolution of the scientific method.  The evolution of science is a process of understanding the evolution of the
,Cell Theory,The Cell Theory is a theory of the structure of the cell. It is a theory of the structure of the cell that is based on the observation that the cell is composed of a number of cells. The cell is composed of a number of cells. The cell is composed of a number of cells. The cell is composed of a number of cells. The cell is composed of a number of cells. The cell is,The Cell Theory is a theory of the structure of the cell. It is a theory of the structure of the cell that is based on the observation that the cell is composed of a number of cells. The cell is composed of a number of cells. The cell is composed of a number of cells. The cell is composed of a number of cells. The cell is composed of a number of cells. The cell is composed of a
,Energy,Summarize Energy in science to a non-expert.  Summarize Energy in science to a non-expert.  Summarize Energy in science to a non-expert.  Summarize Energy in science to a non-expert.  Summarize Energy in science to a non-expert.  Summarize Energy in science to a non,Summarize Energy in science to an expert  Summarize Energy in science to an expert  Summarize Energy in science to an expert  Summarize Energy in science to an expert  Summarize Energy in science to an expert  Summarize Energy in science to an expert  Summarize Energy in science to an expert  Summarize Energy in science to an expert
,Periodic Table,The following is a list of the most common periods in science.  1.  2.  3.  4.  5.  6.  7.  8.  9.  10.  11.  12.  13.  14.  15.  16.  17.,The following is a list of the most common periods in science.  The following is a list of the most common periods in science.  The following is a list of the most common periods in science.  The following is a list of the most common periods in science.  The following is a list of the most common periods in science.  The following is a list of the most common periods in
,Genetics,Summarize the science of genetics to a non-expert.  Summarize the science of genetics to a non-expert.  Summarize the science of genetics to a non-expert.  Summarize the science of genetics to a non-expert.  Summarize the science of genetics to a non-expert.  Summarize the,Summarize Genetics in science to an expert  Summarize Genetics in science to an expert  Summarize Genetics in science to an expert  Summarize Genetics in science to an expert  Summarize Genetics in science to an expert  Summarize Genetics in science to an expert  Summarize Genetics in science to an expert  Summarize Genetics in science to an expert
,Scientific Methods,Summarize the scientific method in science to a non-expert.  Summarize the scientific method in science to a non-expert.  Summarize the scientific method in science to a non-expert.  Summarize the scientific method in science to a non-expert.  Summarize the scientific method in science to a non-expert.,Summarize the scientific method in science to an expert in the field of science.  Summarize the scientific method in science to an expert in the field of science.  Summarize the scientific method in science to an expert in the field of science.  Summarize the scientific method in science to an expert in the field of science.  Summarize the scientific
,Human Body,"The human body is a complex system of cells, tissues, and organs. It is composed of many different cells, tissues, and organs. The human body is composed of many different cells, tissues, and organs. The human body is composed of many different cells, tissues, and organs. The human body is composed of many different cells, tissues, and organs. The human body is composed of many different cells,",The body is a complex system that is composed of many different organs and tissues. The body is composed of many different organs and tissues. The body is composed of many different organs and tissues.  The body is composed of many different organs and tissues. The body is composed of many different organs and tissues.  The body is composed of many different organs and tissues. The body is composed of many different organs and tissues.
,Climate Change,The following is a list of the most common questions that scientists ask about climate change.  What is climate change?  Climate change is the change in the climate that occurs due to the changes in the Earth’s climate.  What is the cause of climate change?  The cause of climate change is the changes in the Earth’s climate.  What is the impact of,The following is a summary of the following articles.  The following is a summary of the following articles.  The following is a summary of the following articles.  The following is a summary of the following articles.  The following is a summary of the following articles.  The following is a summary of the following articles.  The following is a summary of the following articles.  The following is
,Ecosystems,The Ecosystems in Science is a series of articles written by scientists and other researchers who are interested in understanding the ecosystem and its interactions.  The articles are written by scientists and other researchers who are interested in understanding the ecosystem and its interactions.  The articles are written by scientists and other researchers who are interested in understanding the ecosystem and its interactions.  The articles are written by scientists and other researchers,"The Ecosystems in Science is a series of articles that explore the ecosystems of the Earth and its ecosystems. The articles are written by experts in the fields of ecology, geology, geophysics, and geophysics.  The articles are written by experts in the fields of ecology, geology, geophysics, and geophysics.  The articles are written by experts in the fields of ecology,"
,Relativity,The first step is to understand the concept of relativity.  The second step is to understand the concept of relativity.  The third step is to understand the concept of relativity.  The fourth step is to understand the concept of relativity.  The fifth step is to understand the concept of relativity.  The sixth step is to understand the concept of relativity.  The seventh step is to,"The following is a list of the most common questions that scientists ask about the universe.  What is the universe?  The universe is a large, dense, and expanding universe. The universe is a large, dense, and expanding universe.  What is the universe?  The universe is a large, dense, and expanding universe. The universe is a large, dense, and expanding universe.  What"
Mathematics,Trigonometry,The following is a list of the most common problems in trigonometry.  The following is a list of the most common problems in trigonometry.  The following is a list of the most common problems in trigonometry.  The following is a list of the most common problems in trigonometry.  The following is a list of the most common problems in trigonometry,The following is a list of the most common mathematical concepts in the world.  The following is a list of the most common mathematical concepts in the world.  The following is a list of the most common mathematical concepts in the world.  The following is a list of the most common mathematical concepts in the world.  The following is a list of the most common mathematical concepts in the world.
,Calculus,Calculus is a mathematical concept that is used to describe the behavior of a system. It is a mathematical concept that is used to describe the behavior of a system. It is a mathematical concept that is used to describe the behavior of a system. It is a mathematical concept that is used to describe the behavior of a system. It is a mathematical concept that is used to describe the behavior of a system. It is,Calculus is a mathematical concept that is used to explain the behavior of a system. It is a mathematical concept that is used to explain the behavior of a system. It is a mathematical concept that is used to explain the behavior of a system. It is a mathematical concept that is used to explain the behavior of a system. It is a mathematical concept that is used to explain the behavior of a system. It is a mathematical concept
,Linear Algebra,Summarize Linear Algebra in mathematics to a non-expert.  Summarize Linear Algebra in mathematics to a non-expert.  Summarize Linear Algebra in mathematics to a non-expert.  Summarize Linear Algebra in mathematics to a non-expert.  Summarize Linear Algebra in mathematics to a non-expert,Summarize Linear Algebra in mathematics to an expert.  Summarize Linear Algebra in mathematics to an expert.  Summarize Linear Algebra in mathematics to an expert.  Summarize Linear Algebra in mathematics to an expert.  Summarize Linear Algebra in mathematics to an expert.  Summarize Linear Algebra in mathematics to an expert.  Sum
,Number Theory,Summarize Number Theory in mathematics to a non-expert.  Summarize Number Theory in mathematics to a non-expert.  Summarize Number Theory in mathematics to a non-expert.  Summarize Number Theory in mathematics to a non-expert.  Summarize Number Theory in mathematics to a non-expert.  Summarize,Summarize Number Theory in mathematics to an expert.  Summarize Number Theory in mathematics to an expert.  Summarize Number Theory in mathematics to an expert.  Summarize Number Theory in mathematics to an expert.  Summarize Number Theory in mathematics to an expert.  Summarize Number Theory in mathematics to an expert.  Summarize Number Theory in mathematics to
,Geometry,The following is a list of the most common mathematical concepts in mathematics.  The following is a list of the most common mathematical concepts in mathematics.  The following is a list of the most common mathematical concepts in mathematics.  The following is a list of the most common mathematical concepts in mathematics.  The following is a list of the most common mathematical concepts in mathematics.  The following is,The following is a list of the most common mathematical concepts in mathematics.  The following is a list of the most common mathematical concepts in mathematics.  The following is a list of the most common mathematical concepts in mathematics.  The following is a list of the most common mathematical concepts in mathematics.  The following is a list of the most common mathematical concepts in mathematics.  The following is a list of
,Probability,The following is a list of the most common mathematical terms that are used in mathematics.  The following is a list of the most common mathematical terms that are used in mathematics.  The following is a list of the most common mathematical terms that are used in mathematics.  The following is a list of the most common mathematical terms that are used in mathematics.  The following is a list of the,The following is a list of the most common mathematical terms that are used in mathematics.  The following is a list of the most common mathematical terms that are used in mathematics.  The following is a list of the most common mathematical terms that are used in mathematics.  The following is a list of the most common mathematical terms that are used in mathematics.  The following is a list of the most common mathematical
,Graph Theory,Summarize Graph Theory in mathematics to a non-expert.  Summarize Graph Theory in mathematics to a non-expert.  Summarize Graph Theory in mathematics to a non-expert.  Summarize Graph Theory in mathematics to a non-expert.  Summarize Graph Theory in mathematics to a non-expert.  Summarize,Summarize Graph Theory in mathematics to an expert  Summarize Graph Theory in mathematics to an expert  Summarize Graph Theory in mathematics to an expert  Summarize Graph Theory in mathematics to an expert  Summarize Graph Theory in mathematics to an expert  Summarize Graph Theory in mathematics to an expert  Summarize Graph Theory in mathematics to an expert  Summarize
,Differential Equations,The following is a list of the most common differential equations in mathematics.  The following is a list of the most common differential equations in mathematics.  The following is a list of the most common differential equations in mathematics.  The following is a list of the most common differential equations in mathematics.  The following is a list of the most common differential equations in mathematics.  The,Summarize Differential Equations in mathematics to an expert.  Summarize Differential Equations in mathematics to an expert.  Summarize Differential Equations in mathematics to an expert.  Summarize Differential Equations in mathematics to an expert.  Summarize Differential Equations in mathematics to an expert.  Summarize Differential Equations in mathematics
,Combinatorics,Summarize Combinatorics in mathematics to a non-expert.  Summarize Combinatorics in mathematics to a non-expert.  Summarize Combinatorics in mathematics to a non-expert.  Summarize Combinatorics in mathematics to a non-expert.  Summarize Combinatorics in mathematics,Summarize Combinatorics in mathematics to an expert in the field.  Summarize Combinatorics in mathematics to an expert in the field.  Summarize Combinatorics in mathematics to an expert in the field.  Summarize Combinatorics in mathematics to an expert in the field.  Summarize Combinatorics in mathematics
,Topology,The following is a list of topology topics that are covered in the mathematics department.  Topology  Topology is a mathematical concept that describes the relationship between two points. Topology is a mathematical concept that describes the relationship between two points. Topology is a mathematical concept that describes the relationship between two points.  Topology is a mathematical concept that describes the relationship between two points. Topology is,Summarize Topology in mathematics to an expert  Summarize Topology in mathematics to an expert  Summarize Topology in mathematics to an expert  Summarize Topology in mathematics to an expert  Summarize Topology in mathematics to an expert  Summarize Topology in mathematics to an expert  Summarize Topology in mathematics to an expert  Summarize
